"id","tax_id","type","company_name_th","company_name","company_status","register_date","typeof_service","subtypeof_service","additional_info","location","city","district","subdistrict","zip","country","status","website","office_number","phone_number","fax_number","is_tech","typeof_service_non_tech","typeof_service_non_tech_other_name","subtypeof_service_non_tech","register_capital","old_tax_id","objective","finance_year_latest_record","is_verified","picture_profile","tsic"
"39","0105560034567","1","บริษัท ไทยดอทรัน จำกัด","THAIDOTRUN COMPANY LIMITED","1","02/03/2017","[""1"", ""5""]","[""2"", ""3"", ""4"", ""8"", ""11"", ""14""]","กิจกรรมการให้คำปรึกษาทางด้านซอฟต์แวร์","803,805,807,809  ถนนพระราม6","กรุงเทพมหานคร","เขตปทุมวัน","วังใหม่","10330","","1","https://thai.run/","","","","1","NULL","","NULL","17521000","","กิจกรรมการให้คำปรึกษาทางด้านซอฟต์แวร์","NULL","NULL","14656","62021"
"40","0105554091589","1","บริษัท โลจิคสเปซ จำกัด","LOGICSPACE COMPANY LIMITED","1","11/07/2011","[""1""]","[""2"", ""3"", ""4""]","กิจกรรมการจัดทำโปรแกรมเว็บเพจและเครือข่ายตามวัตถุประสงค์ของผู้ใช้","431/18  ถนนสาธุประดิษฐ์","กรุงเทพมหานคร","เขตยานนาวา","ช่องนนทรี","10120","","1","https://logicspace.co.th/","","","","1","NULL","","NULL","3000000","","กิจกรรมการจัดทำโปรแกรมเว็บเพจและเครือข่ายตามวัตถุประสงค์ของผู้ใช้","NULL","NULL","14657","62012"
"41","0105531012755","0","บริษัท วีเอสที อีซีเอส (ประเทศไทย) จำกัด","VST ECS (THAILAND) CO., LTD.","1","0000-00-00","[""5""]","[""1""]","Distributor  ให้บริการ  HW, SW Solution ด้าน Data และ AI","","","","","","","1","https://www.vstecs.co.th","","","","1","NULL","NULL","NULL","NULL","","","NULL","NULL","NULL",""
"42","105534009402","1","บริษัท ออราเคิล คอร์ปอเรชั่น (ประเทศไทย) จำกัด","ORACLE CORPORATION (THAILAND) CO., LTD.","1","1991-01-29","[0]","[0]","","","","","","","","1","","","","","1","NULL","NULL","NULL","NULL","","กิจกรรมการบริการเทคโนโลยีสารสนเทศและคอมพิวเตอร์อื่นๆ, กิจกรรมให้คำปรึกษาด้านการบริหารจัดการอื่นๆซึ่งมิได้จัด ประเภทไว้ในที่อื่น","NULL","NULL","NULL","62090"
"43","125558024568","1","บริษัท กสิกร ซอฟต์ จำกัด","KASIKORN SOFT COMPANY LIMITED","1","2015-10-13","[0]","[0]","","","","","","","","1","","","","","1","NULL","NULL","NULL","NULL","","กิจกรรมการบริการเทคโนโลยีสารสนเทศและคอมพิวเตอร์อื่นๆ, กิจกรรมการบริการเทคโนโลยีสารสนเทศและคอมพิวเตอร์อื่นๆ","NULL","NULL","NULL","62090"
"44","107565000549","0","บริษัท จีเอเบิล จำกัด (มหาชน)","G-ABLE PUBLIC COMPANY LIMITED","1","2022-08-18","[0]","[0]","","","","","","","","1","","","","","1","NULL","NULL","NULL","NULL","","การขายส่งคอมพิวเตอร์อุปกรณ์ต่อพ่วงคอมพิวเตอร์และซอฟต์แวร์, การขายส่งคอมพิวเตอร์อุปกรณ์ต่อพ่วงคอมพิวเตอร์และซอฟต์แวร์","NULL","NULL","NULL","62011"
"45","105561035869","1","บริษัท ดอท แมทเทอร์ จำกัด","DOT MATTER COMPANY LIMITED","1","2018-02-23","[0]","[0]","","","","","","","","1","","","","","1","NULL","NULL","NULL","NULL","","กิจกรรมของบริษัทโฆษณา, กิจกรรมของตัวแทนขายสื่อโฆษณา","NULL","NULL","NULL","73101"
"46","105551103373","1","บริษัท ชุน บ็อก จำกัดด","CHUNBOK CO., LTD.","1","22/08/2025","[""1"", ""3""]","[""2"", ""3""]","ือา่ดกือา","12/8","ชลบุรี","เมืองชลบุรี","ดอนหัวฬ่อ","20000","","1","www.google.com","0875213121313","054512123","0845645123","1","NULL","","NULL","NULL","","กิจกรรมการจัดการสิ่งอำนวยความสะดวกด้านคอมพิวเตอร์, กิจกรรมการจัดการสิ่งอำนวยความสะดวกด้านคอมพิวเตอร์","NULL","NULL","20962","62030"
"47","105546061641","1","บริษัท ตลาดรถดอทคอม จำกัด","TALADROD DOT COM CO.,LTD.","1","2003-05-29","[0]","[0]","","","","","","","","1","","","","","1","NULL","NULL","NULL","NULL","","กิจกรรมการบริหารจัดการและประมวลผลข้อมูล, กิจกรรมการบริหารจัดการและประมวลผลข้อมูล","NULL","NULL","NULL","63110"
"48","105546061641","1","บริษัท ตลาดรถดอทคอม จำกัด","TALADROD DOT COM CO.,LTD.","1","2003-05-29","[0]","[0]","","","","","","","","1","","","","","1","NULL","NULL","NULL","NULL","","กิจกรรมการบริหารจัดการและประมวลผลข้อมูล, กิจกรรมการบริหารจัดการและประมวลผลข้อมูล","NULL","NULL","NULL","63110"
